Num.,Name,PTS,OREB,DREB,TOTAL REB,BLK,FOUL,AST,TOV,STL,2FG MADE,2FG ATT,2FG %,3FG MADE,3FG ATT,3FG %,TFG MADE,TFG ATT,TFG %,FT MADE,FT ATT,FT %,G-SCORE,O-REB ALLOW,TAP-OUT,HUSTLE PLAYS,VERSUS,FINAL,DATE
1,Anthony Franchi,3,0,2,2,0,0,2,3,1,0,0,,1,1,100.0%,1,1,100.0%,0,2,0.0%,1.9,0,16/16,0,NC State (Halton),,2/10/2024
2,Drew Moore,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,NC State (Halton),,2/10/2024
3,Trian Barnes,23,1,4,5,0,0,1,4,0,6,11,54.5%,1,3,33.3%,7,14,50.0%,8,12,66.7%,13,0,16/16,2,NC State (Halton),,2/10/2024
4,JJ Sciba,10,0,1,1,0,3,1,3,0,0,1,0.0%,3,8,37.5%,3,9,33.3%,1,2,50.0%,1.3,0,19/21,2,NC State (Halton),,2/10/2024
5,Jourdan Watkins,7,0,9,9,0,2,1,1,1,3,9,33.3%,0,1,0.0%,3,10,30.0%,1,3,33.3%,3,0,15/22,1,NC State (Halton),,2/10/2024
7,Trevor Kelly,6,0,3,3,0,2,1,1,2,0,0,,2,5,40.0%,2,5,40.0%,0,0,,5.1,0,10/10,0,NC State (Halton),,2/10/2024
8,Sos Igbnigie,2,0,0,0,0,3,2,0,2,1,1,100.0%,0,1,0.0%,1,2,50.0%,0,0,,3.2,0,11/11,0,NC State (Halton),,2/10/2024
11,Tyler Druskis,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,NC State (Halton),,2/10/2024
12,Tevin Jessup,0,0,2,2,0,2,0,0,1,0,0,,0,0,,0,0,,0,0,,0.8,0,2/4,0,NC State (Halton),,2/10/2024
13,Zach Friday,0,0,1,1,0,2,3,0,2,0,2,0.0%,0,1,0.0%,0,3,0.0%,0,0,,1.5,0,10/14,0,NC State (Halton),,2/10/2024
20,Caleb Tillis,2,0,0,0,1,1,0,1,1,1,2,50.0%,0,0,,1,2,50.0%,0,0,,1.3,0,8/9,1,NC State (Halton),,2/10/2024
21,Meelad Doroodchi,4,0,2,2,0,3,1,1,1,1,2,50.0%,0,0,,1,2,50.0%,2,2,100.0%,3.1,0,5/11,1,NC State (Halton),,2/10/2024
33,Cole Strand,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,NC State (Halton),,2/10/2024
34,Max Reid,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,NC State (Halton),,2/10/2024
35,CHARLOTTE,67,5,27,32,1,19,13,15,12,14,33,42.4%,7,20,35.0%,21,53,39.6%,17,27,63.0%,0,9,126/148 = 85%,7,NC State (Halton),67,2/10/2024
36,Opponent,63,12,32,44,2,19,7,19,6,14,32,43.80%,8,24,33.30%,22,56,39.30%,11,19,57.90%,,,,,NC State (Halton),63,2/10/2024
#,Name,PTS,OREB,DREB,TOTAL REB,BLK,FOUL,AST,TOV,STL,2FG MADE,2FG ATT,2FG %,3FG MADE,3FG ATT,3FG %,TFG MADE,TFG ATT,TFG %,FT MADE,FT ATT,FT %,G-SCORE,O-REB ALLOW,TAP-OUT,HUSTLE PLAYS,VERSUS,FINAL,DATE
0,Tre Clemons,12,1,1,2,0,4,0,1,1,4,5,80.0%,1,1,100.0%,5,6,83.3%,1,4,25.0%,8,0,10/11,2,@ High Point,,2/17/2024
1,Anthony Franchi,8,1,2,3,0,0,1,0,1,2,7,28.6%,1,2,50.0%,3,9,33.3%,1,1,100.0%,5.9,0,14/15,1,@ High Point,,2/17/2024
2,Drew Moore,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,@ High Point,,2/17/2024
3,Trian Barnes,18,3,3,6,0,1,1,4,1,5,15,33.3%,2,2,100.0%,7,17,41.2%,2,2,100.0%,9.2,0,14/15,0,@ High Point,,2/17/2024
4,JJ Sciba,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,@ High Point,,2/17/2024
5,Jourdan Watkins,18,0,7,7,3,3,1,0,0,6,8,75.0%,2,4,50.0%,8,12,66.7%,0,0,,16.5,0,15/21,1,@ High Point,,2/17/2024
7,Trevor Kelly,5,0,1,1,0,3,0,0,0,1,2,50.0%,1,7,14.3%,2,9,22.2%,0,0,,-1.4,0,16/16,0,@ High Point,,2/17/2024
8,Sos Igbnigie,11,0,7,7,0,2,5,1,0,3,5,60.0%,1,3,33.3%,4,8,50.0%,2,2,100.0%,10.8,0,18/18,0,@ High Point,,2/17/2024
11,Tyler Druskis,2,1,0,1,0,0,0,0,0,1,1,100.0%,0,0,,1,1,100.0%,0,0,,2.4,0,1/1,0,@ High Point,,2/17/2024
12,Tevin Jessup,0,1,0,1,1,2,0,0,0,0,1,0.0%,0,1,0.0%,0,2,0.0%,0,0,,-0.8,0,4/5,0,@ High Point,,2/17/2024
13,Zach Friday,2,1,2,3,0,1,2,2,1,1,1,100.0%,0,0,,1,1,100.0%,0,0,,3,0,12/13,0,@ High Point,,2/17/2024
20,Caleb Tillis,2,0,4,4,0,2,0,0,0,1,1,100.0%,0,0,,1,1,100.0%,0,0,,2.1,0,4/8,0,@ High Point,,2/17/2024
21,Meelad Doroodchi,2,0,4,4,0,2,3,0,0,1,3,33.3%,0,2,0.0%,1,5,20.0%,0,0,,1.4,0,8/10,1,@ High Point,,2/17/2024
30,Cole Strand,0,0,1,1,0,1,0,0,0,0,0,,0,0,,0,0,,0,0,,-0.1,0,1/1,0,@ High Point,,2/17/2024
34,Max Reid,2,1,1,2,0,0,0,0,0,1,2,50.0%,0,0,,1,2,50.0%,0,0,,2,0,1/1,0,@ High Point,,2/17/2024
35,CHARLOTTE,82,12,35,47,5,22,13,8,4,26,51,51.0%,8,22,36.4%,34,73,46.6%,6,9,66.7%,0,10,118/135 = 87%,5,@ High Point,82,2/17/2024
36,Opponent,65,15,28,43,6,11,1,5,6,13,34,38.20%,5,31,16.10%,18,65,27.70%,24,34,70.60%,,,,,@ High Point,65,2/17/2024
#,Name,PTS,OREB,DREB,TOTAL REB,BLK,FOUL,AST,TOV,STL,2FG MADE,2FG ATT,2FG %,3FG MADE,3FG ATT,3FG %,TFG MADE,TFG ATT,TFG %,FT MADE,FT ATT,FT %,G-SCORE,O-REB ALLOW,TAP-OUT,HUSTLE PLAYS,VERSUS,FINAL,DATE
0,Tre Clemons,25,4,3,7,0,1,1,2,0,9,14,64.3%,0,2,0.0%,9,16,56.3%,7,10,70.0%,18.2,0,11/11,2,High Point (Regionals),,4/6/2024
